piazza,Soup,Spicy Tomato Soup,£2.25
piazza,Street Food,Sweet and Sour Tofu,£5.00
piazza,Street Food,Thai Green Curry,£5.00
piazza,Street Food,Spring Rolls with Sweet Chilli Sauce,£5.00
piazza,Street Food,Rice(accompaniment to Street Food),£3.00
piazza,Street Food,Shrimp Crackers(accompaniments to Street Food),£3.00
piazza,Joe's,Piri Piri Chicken Skewer,£3.00
piazza,Joe's,Fajita Chicken Thigh,£3.00
piazza,Joe's,Flat Bread,
piazza,Fish Bar,Battered Cod,£1.50
piazza,Fish Bar,Jumbo Battered Sausage,£2.00
piazza,Fish Bar,Salmon and Dill Fish Cake,£2.75
piazza,Fish Bar,Curry Sauce,£1.50
piazza,Fish Bar,Pea Fritter,£1.50
piazza,Burger with Bap,Chicken Burger,£2.50
piazza,Burger with Bap,Beef Burger,£2.50
piazza,Potato,Vita Potatoes,£1.00
piazza,Potato,Chips - with meal,£1.25
piazza,Potato,Curly Fries - with meal,£1.25
piazza,Potato,Bowl of Chips,£1.50
piazza,Potato,Bowl of Curly Fries,
piazza,Vegetables,Peas,£1.50
piazza,Vegetables,Carrots,£1.50
piazza,Pizza,See Separate Allergen Sheet,£3.25
piazza,Jacket of the Day - Hot,Baked Beans,£3.25
piazza,Jacket of the Day - Cold,Tuna Mayonnaise,£3.25
piazza,Jacket of the Day - Cold,Grated Mature Cheddar,£3.25
terrace,Soup,White Onion and Thyme Soup,£2.25
terrace,Main Meal,Macaroni Cheese,£2.75
terrace,Main Meal,Battered Cod with Lemon Wedge,£2.75
terrace,Main Meal,Lamb Navarin with Root Vegetables,£2.75
terrace,Main Meal,Cuban Chimichurri Hot Dogwith Brioche Roll,£2.75
terrace,Potato,Chips,£1.25
terrace,Potato,Herb Vita Potatoes,£1.00
terrace,Potato,Bowl of Chips,£1.50
terrace,Vegetables,Peas,£1.50
terrace,Vegetables,Swede,£1.50
terrace,Rice,Steamed Rice,£1.50
terrace,Hot Dessert,Bake Rhubarb and Rice Puddingwith Custard,£1.65
terrace,Cold Dessert,White Chocolate and Mango Moussein a Tuille Biscuit,£1.65
terrace,Cold Dessert,Peanut Halva,£1.65
terrace,Cold Dessert,Chocolate Marquise,£1.65
arlott,Soup of the Day,White Thyme and Onion,£2.40
arlott,Jacket of the Day - Hot,Baked Beans,£3.25
arlott,Jacket of the Day - Hot,Mixed Beans,£3.25
arlott,Jacket of the Day - Hot,£3.00
arlott,Jacket of the Day - Cold,Tuna Mayonnaise,£3.25
arlott,Jacket of the Day - Cold,Cheese,£3.25
arlott,Jacket of the Day - Cold,Coleslaw,£3.25
arlott,Quiche,Cheese and Broccoli,£2.80
arlott,Panini's,Selection of Panini's Available(Allergen advice available on individual pack),£3.00
